Name,Country,Sectors,Website link
PanoX,China,"['Artificial Intelligence', 'Metaverse, Immersive Tech']",https://www.panox.com
PARQOUR - SMART PARKING TECHNOLOGIES,United Arab Emirates,['Future Mobility & Transportation'],https://parqour.com/
PAWBUDDY,United Arab Emirates,N/A,N/A
Peekapak,Canada,N/A,https://www.peekapak.com
Perfect Doc Studio Inc.,Canada,N/A,N/A
Pet Watch,United Arab Emirates,N/A,https://petwatchapp.com/
Phiji,Germany,"['Artificial Intelligence', 'Education Tech', 'Gaming']",http://phiji.org/en.com
Phoenix Evolution DMCC,United Arab Emirates,"['5G & Telecommunications', 'Artificial Intelligence', 'Big Data & Analytics', 'Cloud Services', 'Ecommerce']",https://www.phoenixevolution.ae/
Pinsteps,Israel,N/A,https://pinsteps.com
Pioneer Investors,Oman,N/A,N/A
Planet Beyond UK Pvt LTd.,United Kingdom,N/A,https://planetbeyond.co.uk
Promedius Inc.,"Korea, Republic Of",N/A,https://www.promedius.ai/
ProofEasy,Malaysia,"['Big Data & Analytics', 'Blockchain', 'Coding and Development']",https://proofeasy.io
Prospect Precise,India,"['Media, Marketing & Advertising Tech']",https://prospectprecise.com/
Prospectuz DGTAL,Uzbekistan,N/A,https://prospectuzdgtal.com
Proxgy,India,"['Artificial Intelligence', 'Consumer Tech, Smart Home & Smart Workplace', 'Future Mobility & Transportation', 'Internet of Things (IOT)', 'Smart Cities']",https://proxgy.com
PsycReality,"Ireland, Republic of",N/A,N/A
Quecko. Inc,Pakistan,N/A,N/A
Quid Sol (Pvt) Ltd,Pakistan,"['3D Printing & Printing Services', 'Big Data & Analytics', 'Coding and Development', 'Education Tech', 'Gaming']",https://quids.tech
Rainbow Chimney Educational Aids,United Arab Emirates,"['Education Tech', 'Metaverse, Immersive Tech', 'Smart Cities']",https://www.rainbowchimney.ae
Recursive Inc.,Japan,N/A,https://recursiveai.co.jp/en/
Redington Middle East and Africa,United Arab Emirates,N/A,https://redingtongroup.com/
Revstack,Pakistan,N/A,N/A
Riyadh Valley Company,Saudi Arabia,"['Artificial Intelligence', 'Education Tech', 'Energy Tech', 'Fintech', 'HealthTech']",https://rvc.com.sa/en/
Rocket Science Development,Canada,N/A,N/A
RODIOLA TECHNOLOGIES LLC FZ,United Arab Emirates,N/A,http://www.blackfox-rus.com/
Rudzambilu Holdings (PTY) Ltd,South Africa,N/A,https://www.signotranslator.com
Safetech Digital and Cognitive Solutions FZE,United Arab Emirates,N/A,N/A
Safira.ai,Germany,N/A,https://safira.ai/
"SAKIGAKE Semiconductor Co., Ltd",Japan,N/A,https://sakigakes.co.jp/
Samasth Living Pvt Ltd,India,N/A,https://www.thesettl.com
Sanjesh Maharat Paya,Iran,N/A,N/A
Sanjesh Maharat Paya,United Arab Emirates,N/A,N/A
SAP,United Arab Emirates,['Artificial Intelligence'],https://www.sap.com/products/erp/grow/scaleups.html
Sare Shomal Engineering,Iran,N/A,https://www.sare-eng.com
SecDojo,France,N/A,N/A
ShaQ Express,Ghana,"['Artificial Intelligence', 'Ecommerce', 'Future Mobility & Transportation', 'Media, Marketing & Advertising Tech', 'Retail Tech']",https://shaqexpress.com/
Sharebox,"Korea, Republic Of",N/A,https://www.ssharebox.com
Sharjah Business Women Council - AE,United Arab Emirates,N/A,https://www.sbwc.ae
Sharjah Entrepreneurship Center,United Arab Emirates,N/A,https://www.sheraa.ae
SHENZHEN XGRIDS-INNOVATION CO. LTD,China,N/A,https://www.xgrids.cn
Sherdil Cloud,Pakistan,N/A,N/A
ShinyPi,Iran,N/A,https://shinypi.net/
Shuraa Management & Consultancy LLC,United Arab Emirates,N/A,https://www.shuraa.com
Simla Group,Cyprus,N/A,N/A
SIMPPLE Ltd,Singapore,"['Artificial Intelligence', 'Big Data & Analytics', 'Cloud Services', 'Internet of Things (IOT)', 'PropTech']",http://simpple.ai
"Sina Robotics and Medical Innovators Co., Ltd.,",Iran,N/A,https://www.SinaMed.ir
Smart Audio Technologies,United Kingdom,N/A,N/A
Smart Performance Management FZE-LLC,United Arab Emirates,"['Artificial Intelligence', 'Big Data & Analytics', 'Coding and Development', 'Cyber security', 'Data Centres']",https://spmconsultants.com/
"Smart Radar System, Inc.","Korea, Republic Of",N/A,https://www.smartradarsystem.com
SmartHCM,Pakistan,N/A,https://SmartHCM.cloud
SNPIT,Japan,"['Blockchain', 'Fintech', 'Metaverse, Immersive Tech']",https://lp.snpit.xyz/
Socium,Senegal,N/A,https://sociumjob.com
Soonicorn Ventures,India,['Fintech'],https://soonicornventures.com/
Spatial Pleasure,Japan,N/A,https://spatial-pleasure.xyz/
Spatial Pleasure,Japan,N/A,https://spatial-pleasure.xyz/
Sport Vision Technology,Poland,"['Artificial Intelligence', 'Gaming', 'Media, Marketing & Advertising Tech', 'Metaverse, Immersive Tech']",http://sportvision.tech
STANDAGE Inc.,Japan,N/A,https://standage.co.jp/en
Start from today ltd.,United Kingdom,N/A,N/A
startAD - New York University in Abu Dhabi Corporation,United Arab Emirates,N/A,N/A
Startup Grind,United States of America,N/A,https://www.startupgrind.com
"Suzhou Element Three New Energy Technology Co., Ltd.",China,N/A,https://bootsmoving.com
"Suzhou Limu Automotive Technology Co., Ltd",China,"['Artificial Intelligence', 'Energy Tech', 'Future Mobility & Transportation']",http://en.shjiyukeji.com/
SYNECTIKS INC,United States of America,"['Big Data & Analytics', 'Cloud Services', 'Coding and Development', 'Internet of Things (IOT)', 'Software Services']",https://www.synectiks.com
Table Finder,United Arab Emirates,"['AgriTech & FoodTech', 'Cloud Services']",https://www.tablefinder.online
TableAt,United Arab Emirates,N/A,N/A
Talent-e,United Arab Emirates,"['Media, Marketing & Advertising Tech']",http://www.talent-e.io
Tamil Nadu Startup and Innovation Mission,India,N/A,N/A
Tamkeen,Bahrain,N/A,http://www.tamkeen.bh
Teamcognito Solutions Pvt Ltd,India,N/A,https://zeron.one
Tecaudex Private Limited,Pakistan,N/A,https://www.tecaudex.com/
Techcellance,Sweden,"['Coding and Development', 'Ecommerce', 'Software Services']",https://www.techcellance.com/
Technofer Technology Solutions Corp.,Canada,N/A,N/A
Tekclan Software Solutions Private Limited,India,N/A,N/A
TeraBit IT,Pakistan,N/A,https://terabitit.com/
TerraQuanta,China,N/A,https://terraqt.ai
Test ENS 2023,Taiwan (R.O.C.),N/A,N/A
THATWARE LLP,India,N/A,N/A
The SquarePeg,Pakistan,N/A,N/A
"TOONPLUS Co., Ltd","Korea, Republic Of",N/A,https://blog.naver.com/storyhoon1117
"Toraru co.,ltd.",Japan,N/A,http://toraru.co.jp/en
Touch and Pay Technologies,Nigeria,N/A,https://touchandpay.me/
TraceNcode Technologies Private Limited,India,"['Artificial Intelligence', 'Coding and Development', 'Ecommerce', 'Fintech', 'Software Services']",https://www.tracencode.com
UBIQHR,United Arab Emirates,N/A,https://www.ubiqhr.com
Uforia Infotech Solutions,Pakistan,"['3D Printing & Printing Services', 'Cloud Services', 'Coding and Development', 'Ecommerce', 'Media, Marketing & Advertising Tech']",https://www.uforiainfotech.com
UmbraCity Inc.,Canada,N/A,https://umbracity.com
Unimal,Japan,N/A,https://unimal.jp
UP10 Media,United Arab Emirates,"['Media, Marketing & Advertising Tech']",https://up10.co
Usermost,Canada,"['Big Data & Analytics', 'Media, Marketing & Advertising Tech']",https://usermost.com/
VBRL,United States of America,"['Artificial Intelligence', 'Coding and Development', 'Internet of Things (IOT)', 'Smart Cities', 'Software Services']",https://vbrl.ai/
vConnect iDees Services,India,N/A,N/A
Verofax Ltd,United Arab Emirates,N/A,N/A
Wantotrip,Tunisia,N/A,https://wantotrip.net/
Weego,Morocco,N/A,https://www.weegolines.com
WIDEBOT,Egypt,N/A,https://www.widebot.net
Wishtel Private Limited,India,N/A,N/A
World Market Business Co,Iran,['Energy Tech'],https://nirooban.com/
"Xianghang (Rudong) Technology Co., Ltd",China,N/A,http://xianghangkeji.com
Xporience,Argentina,"['3D Printing & Printing Services', 'AgriTech & FoodTech', 'Artificial Intelligence', 'Blockchain', 'Consumer Tech, Smart Home & Smart Workplace']",https://xporience.com/
Xporience,Argentina,"['AgriTech & FoodTech', 'Artificial Intelligence', 'Cloud Services', 'Cyber security', 'Education Tech']",https://xporience.com/
YABEX (Macan Safar Jahan),Iran,N/A,https://www.yabex.net
YALLAGRUB,United Arab Emirates,N/A,N/A
Yapiee LLC,United Arab Emirates,N/A,N/A
YolaFresh,Morocco,['Ecommerce'],http://www.yolafresh.com
YOUREG LTD,Cyprus,N/A,N/A
Zarzad Nadbaltyckich Inicjatyw Klastrowych Sp. Z o. o.,Poland,N/A,N/A
Zenland,Uzbekistan,N/A,https://zen.land/
